,Persistance,src_ID,dst_ID
0,144,742670232,3978971496
1,2,1233951067,3441432257
2,82,3746607871,4215913810
3,20,3672231280,1074109415
4,7,3585292053,3474337134
5,196,738709536,3978971497
6,17,3310390651,3617660708
7,16,3992031756,3337740552
8,162,795211478,3978971496
9,6,743724453,2318945533
10,250,269242574,3978971486
11,433,2571612656,3455648731
12,25,796536739,3474332898
13,170,796632884,3618074842
14,47,283699743,1962334047
15,15,3572221756,3455830632
16,8,4124349470,3337831460
17,6,799303396,3446717618
18,3,799093738,3336551822
19,17,4269069114,3569506637
20,96,790806189,3978971489
21,216,799565743,3978971490
22,43,2377789382,3453268127
23,97,2359936954,1074109318
24,30,2258940501,3978971495
25,254,2199086420,2345958460
26,20,4182134627,3348631478
27,23,3926897881,283729038
28,3,3740556822,843164311
29,23,1856431703,3349792318
30,5,697341261,3571692297
31,1,828762956,3472950122
32,9,282365571,4041960754
33,17,1286694869,3472905770
34,28,254851997,3347702616
35,145,738231801,3978971486
36,5,2036757072,3453615746
37,24,2258940516,3978971496
38,2,743876659,3399942826
39,27,4182134626,3348631478
40,14,792677139,3442966781
41,1,568628633,3446718448
42,11,2360209632,2205367112
43,26,740697765,3257294149
44,33,3442886632,3453170772
45,114,1053063730,3337040434
46,136,791096652,4109904414
47,22,1999520830,2345952941
48,2,752724707,3978971489
49,513,2258940747,3978971485
50,120,793843852,3978971496
51,2,816203433,846915517
52,51,800678271,3618740955
53,4,3883427597,2270145425
54,306,123263526,3441432670
55,104,269242575,3978971486
56,39,788931529,3571853904
57,18,3311125449,3443994623
58,243,1999529410,3391033753
59,163,739347184,2270145408
60,18,2075950754,4041192770
61,16,3672241732,1962333960
62,161,1262483488,3391007164
63,305,799586877,3978971484
64,138,1692444629,2343837753
65,7,740675240,3447595244
66,145,740010620,3978971486
67,215,2666852292,3451161562
68,46,4031975240,3335621949
69,52,2260923212,3391009036
70,37,751359748,1074109386
71,224,353416737,2343839235
72,40,1053193846,4041960813
73,494,3440414104,3353310666
74,26,3584894699,3453618325
75,97,1619391932,3618746989
76,19,3585292102,4030665134
77,179,1809678518,3232165611
78,240,269242573,3978971486
79,89,792609741,4041194310
80,381,1281776638,4095553689
81,262,360213598,3453269629
82,15,3318818677,3353386158
83,4,738815806,3453634561
84,104,742704885,3484728545
85,252,738484946,3978971490
86,18,791795015,3353384197
87,35,359686491,3453268846
88,322,3672238761,1074109416
89,11,2075950754,3353374370
90,444,1261944668,3390919568
91,194,1561772885,3567997594
92,205,844417394,3347704463
93,17,1208716546,3890314077
94,459,504317774,3447595244
95,17,3885269702,3223197176
96,73,3250638010,1962334028
97,102,2258940743,3978971486
98,102,1056842318,3353374370
99,160,3618921986,4104016765
100,2,3978972181,3978971488
101,7,3295885680,1074109364
102,7,3527330650,3571692297
103,7,3525188058,2346381564
104,6,1454170851,3229963587
105,2,792660104,3890314071
106,78,2024764488,2317272209
107,30,3286116802,3568003456
108,242,3468861695,3347596454
109,40,1053886731,3450221191
110,211,1226518379,3978971484
111,15,819324727,2325249746
112,110,742359669,3472949435
113,14,1265539247,3390574809
114,109,1274658536,1962334026
115,146,269242572,3978971486
116,2,2578298701,3242272722
117,143,1280634111,3353306999
118,134,4173841821,3390575006
119,56,3866885816,3447595505
120,54,3888265262,4218216562
121,26,1208716553,3890314079
122,11,2489231630,3390572524
123,4,4176320684,2059628448
124,256,232389187,1962334020
125,10,3314518690,3444017901
126,2,739661541,2325249701
127,25,2653947528,4109945893
128,1,2633942426,3223173532
129,18,1613278852,3447595030
130,5,1053839312,3261528938
131,84,740010620,3978971487
132,108,2040260637,3349867229
133,198,3525080475,3324064853
134,8,3672231283,1074109414
135,1,1711643025,3474201417
136,26,2379884975,3569581340
137,3,2258940521,3978971498
138,83,980208169,4225769669
139,99,738372476,3978971489
140,104,2260923251,3242272566
141,3,1262410238,3350331304
142,35,3581955198,1962333995
143,29,269242573,3978971487
144,529,230700669,3447621997
145,2,2262006089,4217688740
